Publication,Scenario,Category,Product,Flow,Unit,Year,Value
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Power sector inputs,EJ,2030,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Power sector inputs,EJ,2040,10
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Power sector inputs,EJ,2050,7
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Other energy sector,EJ,2019,57
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Other energy sector,EJ,2020,57
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Other energy sector,EJ,2030,61
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Other energy sector,EJ,2040,76
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Other energy sector,EJ,2050,91
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total inputs,Hydrogen transformation,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total inputs,Hydrogen transformation,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total inputs,Hydrogen transformation,EJ,2030,21
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total inputs,Hydrogen transformation,EJ,2040,49
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total inputs,Hydrogen transformation,EJ,2050,70
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Biofuels production (own use),EJ,2019,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Biofuels production (own use),EJ,2020,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Biofuels production (own use),EJ,2030,12
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Biofuels production (own use),EJ,2040,15
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Biofuels production (own use),EJ,2050,12
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total final consumption,EJ,2019,435
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total final consumption,EJ,2020,412
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total final consumption,EJ,2030,394
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total final consumption,EJ,2040,363
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total final consumption,EJ,2050,344
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Total final consumption,EJ,2019,82
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Total final consumption,EJ,2020,81
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Total final consumption,EJ,2030,103
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Total final consumption,EJ,2040,140
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Total final consumption,EJ,2050,169
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Total final consumption,EJ,2019,175
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Total final consumption,EJ,2020,158
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Total final consumption,EJ,2030,143
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Total final consumption,EJ,2040,96
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Total final consumption,EJ,2050,66
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Total final consumption,EJ,2019,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Total final consumption,EJ,2020,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Total final consumption,EJ,2030,12
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Total final consumption,EJ,2040,14
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Total final consumption,EJ,2050,15
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Ammonia,Total final consumption,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Ammonia,Total final consumption,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Ammonia,Total final consumption,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Ammonia,Total final consumption,EJ,2040,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Ammonia,Total final consumption,EJ,2050,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Synthetic oil,Total final consumption,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Synthetic oil,Total final consumption,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Synthetic oil,Total final consumption,EJ,2030,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Synthetic oil,Total final consumption,EJ,2040,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Synthetic oil,Total final consumption,EJ,2050,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Total final consumption,EJ,2019,171
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Total final consumption,EJ,2020,154
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Total final consumption,EJ,2030,129
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Total final consumption,EJ,2040,77
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Total final consumption,EJ,2050,42
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Total final consumption,EJ,2019,70
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Total final consumption,EJ,2020,68
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Total final consumption,EJ,2030,68
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Total final consumption,EJ,2040,60
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Total final consumption,EJ,2050,53
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Total final consumption,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Total final consumption,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Total final consumption,EJ,2030,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Total final consumption,EJ,2040,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Total final consumption,EJ,2050,8
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Total final consumption,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Total final consumption,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Total final consumption,EJ,2030,6
